ID,name,topic_ID
8acf746e-797c-a302-6c2c-e27c36ce4c1c,Operations / data requesting,60ae3692-684c-1d8a-75bf-6763c5c3f4cd
9aad29c7-b61b-2424-abd4-08d2c45e4b78,Batch processing,60ae3692-684c-1d8a-75bf-6763c5c3f4cd
a02a6129-663e-578d-9f77-01040730ac39,JSON format representation,60ae3692-684c-1d8a-75bf-6763c5c3f4cd
0fafb946-17d4-5b34-f921-b600a93268e9,Misc,60ae3692-684c-1d8a-75bf-6763c5c3f4cd
e5095a16-c5c4-add9-1ce2-31656798cb68,General points,6739629b-0e15-e76a-7a01-01d0fb6772d0
59bac279-0dd1-0062-cc01-f7bf7978e34c,Vocabulary & Annotation,6739629b-0e15-e76a-7a01-01d0fb6772d0
32db71f1-1461-db3a-0c88-9788ded23a7a,System query options,6739629b-0e15-e76a-7a01-01d0fb6772d0
51de3689-bf0d-dbe8-92aa-10a3f29045ac,Misc.,6739629b-0e15-e76a-7a01-01d0fb6772d0
6005a103-8070-0db6-05cb-da537e432f1b,Application structure,bab71ca5-3ca6-b217-375a-1cb884fc25e9
298901ce-d06f-093e-6713-4ae909698270,Data Binding,bab71ca5-3ca6-b217-375a-1cb884fc25e9
610c9720-668d-4eeb-1575-4d325be74cf4,Controls,bab71ca5-3ca6-b217-375a-1cb884fc25e9
bc0f1238-496e-81f5-0112-1b3107cb0815,Custom controls,bab71ca5-3ca6-b217-375a-1cb884fc25e9
bb9a308c-219b-688e-a905-d5cb9fa92046,Smart Controls,bab71ca5-3ca6-b217-375a-1cb884fc25e9
bd8b970a-7d5a-c16e-0916-b67b5775d394,MVC,bab71ca5-3ca6-b217-375a-1cb884fc25e9
10da04ac-65e5-1808-75d0-9832c2fa5806,Modules,bab71ca5-3ca6-b217-375a-1cb884fc25e9
64856824-8ba5-c606-afab-be9d9002741d,Routing,bab71ca5-3ca6-b217-375a-1cb884fc25e9
c8e462d8-6191-9142-86c5-a36a30564a8d,ODataModel,bab71ca5-3ca6-b217-375a-1cb884fc25e9
7b58d414-7fa7-715c-9ab5-47a43bac6a70,OData Metadata,bab71ca5-3ca6-b217-375a-1cb884fc25e9
f50b785a-31c7-6d57-855d-1ce00de68446,Localization,bab71ca5-3ca6-b217-375a-1cb884fc25e9
4b0f7f8b-ab16-7372-bdfc-a17d996a32ec,Layouting & Responsiveness,bab71ca5-3ca6-b217-375a-1cb884fc25e9
150dc069-82ba-dded-f437-d4dadb726ad2,Testing,bab71ca5-3ca6-b217-375a-1cb884fc25e9
993c1f10-7216-be88-ef14-b8e61933d07d,Security,bab71ca5-3ca6-b217-375a-1cb884fc25e9
9d853614-7351-ebb3-fcf1-acbdd23bfd01,Accessibility,bab71ca5-3ca6-b217-375a-1cb884fc25e9
